Date,Point,NC,SWE [cm],NC_norm,SWE [mm],DOWY
2021-01-21,p00,4282.290040304163,0.40358263873916556,0.28264979819773933,4.035826387391656,112
2021-01-21,p01,4357.04973864202,0.43935863585635504,1.2165948660321038,4.39358635856355,112
2021-01-21,p02,4269.979561940594,0.27572782983112165,0.12885957691597572,2.7572782983112165,112
2021-01-21,p03,4266.184971058074,0.4314930112595945,0.08145516627799694,4.314930112595945,112
2021-01-21,p04,4249.841428777275,0.2969671756829471,-0.12271862044747779,2.969671756829471,112
2021-01-21,p05,4338.818459887893,0.34239581518159745,0.988838290613875,3.4239581518159747,112
2021-01-21,p06,4278.113310457481,0.4670277524670825,0.23047146780431702,4.670277524670825,112
2021-01-21,p07,4145.274241675974,0.36861842249018517,-1.4290375439030554,3.6861842249018517,112
2021-01-21,p08,4295.520072663177,0.42423347724131844,0.44792766506593046,4.242334772413185,112
2021-01-21,p09,4207.224665721744,0.35265277908382653,-0.6551139691138861,3.5265277908382653,112
2021-01-21,p10,4326.678807668825,0.33399884519655,0.8371821367328768,3.3399884519654996,112
2021-01-21,p11,4116.591339345662,0.7149182965222832,-1.7873623600560953,7.149182965222832,112
2021-01-21,p12,4298.0217679143425,0.3503033529396508,0.47918041210740875,3.5030335293965082,112
2021-01-21,p13,4423.735346075326,0.2945685053307776,2.049673323310152,2.945685053307776,112
2021-01-21,p14,4272.379864093926,0.5783907889951937,0.15884565774906517,5.783907889951937,112
2021-01-21,p15,4063.6947570895177,0.9693769840040116,-2.4481796613801197,9.693769840040115,112
2021-01-21,p16,4326.104654267362,0.2876223424712178,0.830009452126077,2.8762234247121783,112
2021-01-21,p17,4329.606281198346,0.4130409962105635,0.8737539732289936,4.130409962105635,112
2021-01-21,p18,4264.235155136035,0.5955380063825827,0.05709684215337245,5.955380063825827,112
2021-01-21,p19,4241.437924579177,0.35031863504544963,-0.22770046859338636,3.5031863504544964,112
2021-01-21,p20,4231.358223924653,0.6169569313022101,-0.35362241478684825,6.169569313022101,112
2021-01-21,p21,4222.878325717329,0.7408540515064411,-0.45955862483784066,7.408540515064411,112
2021-01-21,p22,4275.6581820501315,0.55229512519586,0.19980046299927176,5.5229512519586,112
2021-01-21,p23,4236.995584986792,0.5297812159397246,-0.2831969626161873,5.297812159397246,112
2021-01-21,p24,4121.270823308378,0.7557422209470275,-1.7289033097367996,7.557422209470275,112
2021-01-21,p25,4310.338987114994,0.37181898833574817,0.6330548441562851,3.7181898833574816,112
2021-01-22,p00,4317.833551138705,0.3373469160658336,0.6525890333701425,3.373469160658336,113
2021-01-22,p01,4334.1557753557445,0.48189550538079495,0.7760737897072255,4.818955053807949,113
2021-01-22,p02,4337.866415038908,0.1509634693018464,0.8041463998513612,1.509634693018464,113
2021-01-22,p03,4315.75099800051,0.3388161020217802,0.6368336091455081,3.388161020217802,113
2021-01-22,p04,3970.5100700609355,0.8512487598636297,-1.9750648243842313,8.512487598636296,113
2021-01-22,p05,4346.468132760867,0.3283216752279537,0.8692221519579666,3.283216752279537,113
2021-01-22,p06,4056.525117510335,0.9048299379061966,-1.3243234159600423,9.048299379061966,113
2021-01-22,p07,4208.516034818332,0.24791601420481424,-0.17444573142031336,2.4791601420481424,113
2021-01-22,p08,4278.948919227194,0.4553869726314816,0.3584098067523993,4.553869726314816,113
2021-01-22,p09,3962.798110487737,0.8415772905069798,-2.033409167417068,8.415772905069797,113
2021-01-22,p10,4313.966694256412,0.3575282549146853,0.6233345718732919,3.575282549146853,113
2021-01-22,p11,4082.3429341901665,0.7840691880730609,-1.1290003546252847,7.840691880730609,113
2021-01-22,p12,4385.962906524794,0.18935178910501285,1.1680173682211634,1.8935178910501285,113
2021-01-22,p13,4419.07306261762,0.30296799410158676,1.4185101627716248,3.0296799410158677,113
2021-01-22,p14,4341.168072737817,0.44884711298794217,0.8291248826265613,4.4884711298794215,113
2021-01-22,p15,4128.9944296884405,0.8356323716075073,-0.7760614121280376,8.356323716075073,113
2021-01-22,p16,4082.8474176053396,0.7573650208147767,-1.1251837172129815,7.573650208147767,113
2021-01-22,p17,4326.138829772528,0.4194857480025947,0.7154220942797318,4.194857480025947,113
2021-01-22,p18,4237.355785947789,0.6472989407381434,0.0437395841156253,6.4729894073814345,113
2021-01-22,p19,4303.320423806707,0.23499952601918858,0.5427908852470534,2.3499952601918856,113
2021-01-22,p20,4292.584967453255,0.4999951113465798,0.4615724682993452,4.999951113465798,113
2021-01-22,p21,4283.2138337993165,0.6241122832097291,0.39067574855873877,6.241122832097291,113
2021-01-22,p22,4248.890613225953,0.6035100584688389,0.13100559130277292,6.035100584688388,113
2021-01-22,p23,3995.6031857833964,1.0163368506072983,-1.7852244423674521,10.163368506072983,113
2021-01-22,p24,4179.523154459866,0.6400885970219184,-0.3937895364660601,6.400885970219185,113
2021-01-22,p25,4270.571960404437,0.44633185355860977,0.2950344539010379,4.463318535586097,113
2021-01-29,p00,4339.826597821077,0.29681571462159256,-0.3089634673617906,2.9681571462159257,120
2021-01-29,p01,4457.261950898221,0.2574772835570229,1.1999695636087413,2.574772835570229,120
2021-01-29,p02,4302.933254663623,0.21475949544791462,-0.7830079748674832,2.147594954479146,120
2021-01-29,p03,4399.28244980316,0.18657008707656492,0.45498790323889615,1.8657008707656493,120
2021-01-29,p04,4263.035812948591,0.2723039552857204,-1.2956523028109261,2.7230395528572036,120
2021-01-29,p05,4327.734398965435,0.3628621610833267,-0.46433676673234825,3.628621610833267,120
2021-01-29,p06,4343.229969375511,0.34561507330816893,-0.2652333671782583,3.456150733081689,120
