UTC,N,swe_ms
2020-11-22,4877.227178402201,0.0414947600721388
2020-11-23,4984.055284491038,-0.11840437817623585
2020-11-24,4870.84115881461,0.052172337880078266
2020-11-25,4897.992997318773,0.0105857965011392
2020-11-26,4919.15684543033,-0.020957555579982284
2020-11-27,4924.4383369714815,-0.029226905597284147
2020-11-28,4965.0870777138725,-0.09018649149608282
2020-11-29,4995.7858822819535,-0.13537699803884332
2020-11-30,5055.045956107787,-0.22224732910283418
2020-12-01,4934.168585057398,-0.041953592957866694
2020-12-02,4905.141115798878,0.0009079557639884555
2020-12-03,4819.922714527184,0.1315118257139465
2020-12-04,4899.390228635616,0.009202490023015507
2020-12-05,4929.69744098492,-0.03564688662222238
2020-12-06,4906.139991460615,-0.001433180289316482
2020-12-07,4905.356711323034,0.0006887405973866539
2020-12-08,4860.241118696825,0.06853396189237261
2020-12-09,4913.240785212964,-0.012246151557965513
2020-12-10,4881.078740219605,0.03865788753092158
2020-12-11,4885.969918597079,0.029500342430876434
2020-12-12,4886.904162478085,0.028439409267949273
2020-12-13,4904.68339451245,0.0005026124110820117
2020-12-14,4906.613158879173,-0.0019109369845480332
2020-12-15,4874.888306216796,0.04641643479152408
2020-12-16,4900.902343294824,0.006677728024612904
2020-12-17,4901.033689216233,0.0057030402260961404
2020-12-18,4953.623558384425,-0.07292539222487926
2020-12-19,4926.5657851167225,-0.032068890289020185
2020-12-20,4928.605462619956,-0.03511994115933711
2020-12-21,4934.955853981876,-0.04397695051238821
2020-12-22,4896.306152164142,0.013491574968291715
2020-12-23,4878.66905263967,0.041602561225416675
2020-12-24,4801.790916594461,0.1597687590973973
2020-12-25,4862.565349021369,0.06602866604056229
2020-12-26,4803.994794323262,0.1556407177793531
2020-12-27,4826.882345833693,0.12054142687029656
2020-12-28,4831.399327677121,0.11309343127879033
2020-12-29,4863.488896942699,0.06343786640354401
2020-12-30,4861.515261285241,0.06678886047503756
2020-12-31,4860.397754258988,0.06886363830812857
2021-01-01,4903.430198788755,0.0024135821973737897
2021-01-02,4875.791391500487,0.045354378990822404
2021-01-03,4910.33991809961,-0.007494668991606792
2021-01-04,4963.325429635596,-0.08757980504224717
2021-01-05,4881.690164133639,0.03658964730718391
2021-01-06,4914.874197700871,-0.01432041367379274
2021-01-07,4853.200849274995,0.0806513520146765
2021-01-08,4665.8316221858895,0.37784753322437253
2021-01-09,4700.5413497016625,0.3211736288393553
2021-01-10,4716.584494281438,0.29481247770688596
2021-01-11,4681.456884466585,0.35230624451506726
2021-01-12,4749.5249097897195,0.24287116883170867
2021-01-13,4824.812573366565,0.12560862361652142
2021-01-14,4910.620511099971,-0.007439729991732462
2021-01-15,4915.464114822914,-0.015414059138048346
2021-01-16,4888.72259589871,0.02561511939694197
2021-01-17,4913.769030063891,-0.013339168134460691
2021-01-18,4688.393958460935,0.3437347046705106
2021-01-19,4620.222669480475,0.45393904966199417
2021-01-20,4667.205733417904,0.3763289289944525
2021-01-21,4752.086878767413,0.23820851423688907
2021-01-22,4747.328332008623,0.2456540755939484
2021-01-23,4758.4787917667545,0.2282934449163639
2021-01-24,4740.594236246728,0.25711341997267834
2021-01-25,4771.466366660009,0.2080859757481738
2021-01-26,4776.735501178223,0.19883000697276929
2021-01-27,4824.961924486778,0.12388400780050833
2021-01-28,4820.529247754092,0.13024724547170188
2021-01-29,4777.531558575175,0.19813903033671817
2021-01-30,4718.491957910498,0.2926672967632689
2021-01-31,4778.170193226749,0.19745027313063498
2021-02-01,4778.141024695291,0.19662021573108454
2021-02-02,4794.507423977516,0.17129735732591642
2021-02-03,4797.924207964571,0.16655653757064137
2021-02-04,4854.992836767545,0.07663392163744204
2021-02-05,4750.987047615067,0.24026374266412528
2021-02-06,4611.231372554961,0.46759758904376825
2021-02-07,4507.130677655336,0.6453951924953777
2021-02-08,4481.144799550014,0.6910275556148053
2021-02-09,4444.808362611128,0.7558811597881308
2021-02-10,4428.128200428743,0.7849594438505375
2021-02-11,4433.626052446881,0.7766183518840896
2021-02-12,4427.080832660832,0.7865167624206052
2021-02-13,4361.244814771043,0.9064497381945857
2021-02-14,4440.092206399045,0.76424081795399
2021-02-15,4506.227395028584,0.6469246925040184
2021-02-16,4460.30610866932,0.7286539310292333
2021-02-17,4470.112314324566,0.7106888815432932
2021-02-18,4422.2827207711625,0.7951826075756991
2021-02-19,4387.378308661389,0.8586309607438621
2021-02-20,4379.504882214447,0.8725804560231644
2021-02-21,4405.437598527778,0.825731015686162
2021-02-22,4405.91911938549,0.824880153179736
2021-02-23,4509.1839668741295,0.6452815419628429
2021-02-24,4603.550659566444,0.4815255966474774
2021-02-25,4612.006828188485,0.46700466635247423
2021-02-26,4630.989414650525,0.4356410694881104
2021-02-27,4615.846440696049,0.4610892848053212
2021-02-28,4615.516378194654,0.46149917259417833
2021-03-01,4592.595529012408,0.49987569856120945
2021-03-02,4592.601271000894,0.4999115970746983
2021-03-03,4660.920121951994,0.3855669337051972
2021-03-04,4697.687188164134,0.32624488579153016
2021-03-05,4741.27757473718,0.2554036361200884
2021-03-06,4800.640554169241,0.16157139489669817
2021-03-07,4751.937313151373,0.23934515914235052
2021-03-08,4737.843477401421,0.26170634158522427
2021-03-09,4652.070053872121,0.40112033443957995
2021-03-10,4724.108025960164,0.2828445061281209
2021-03-11,4776.146217555647,0.20056629704285742
2021-03-12,4802.6353555119895,0.15864827467065318
2021-03-13,4783.501509395978,0.18829758352794534
2021-03-14,4815.876113388182,0.13735071476513144
2021-03-15,4855.802073123761,0.0771517160192871
